file_size  throughput
125644865  391478.443
5144004    154720.417
33999070   547805.709
3238120    164504.925
3336412    170789.958
10119928   182380.219
16620      763.119
746        6813.330
35838      5840.808
9722       2530.859
1861       12839.375
1162       12287.698
1727574    55890.838
1448885    46972.981
1515120    55947.489
1708694    53180.354
1552518    64800.296
928514     1493083.638
1461218    47395.859
1471208    55890.894
4814542    2783980.643
1496802    48076.652
1479799    44279.282
1476912    48622.059
1536339    52309.387
51471563   2665010.634
1531573    52200.757
1541207    59399.406
1515727    51929.900
1530383    49301.436
89099      18697.789
1494466    52739.209
172904979  154580.247
63363      185611.947
1540382    67764.698
17326      11894.109
1611548    76930.988
1650427    87383.697
1685493    93762.733
1646152    93155.045
1626929    84065.079
1675444    93321.461
1606722    78484.123
1623145    77792.442
319437664  3475872.428
10900      20491.447
1600806    76358.129
1569871    64661.963
1523339    53056.300
1533187    50976.226
1549402    56813.934
1572949    66646.762
1582614    66724.929
1567217    60059.175
1592857    65097.205
1580210    63420.424
1574150    64896.489
1585142    58374.264
1534568    47677.431
1613848    65388.917
1623377    66588.082
1508232    18659.931
1550819    51061.116
1645376    72583.194
1638886    75702.890
1615986    63076.953
1552909    48336.792
1656945    75254.326
1617929    59506.825
1635743    62894.428
1598854    53816.508
1627722    56027.592
1543912    48152.900
1562655    46886.004
1520547    45285.617
1605155    56556.838
1555369    48540.488
3079687    235412.938
1399876    63991.477
1628117    68017.350
1651397    65637.531
1604891    61337.802
1594857    66012.054
1616602    65532.084
1318634    78016.699
1292726    72051.369
1266530    56332.342
1309635    63353.084
2925111    262575.409
1303421    71200.934
1273797    64727.838
1256388    66631.882
1298848    66668.202
1254347    57124.699
2793471    232363.043
1229219    54006.420
1312317    64903.450
1324656    63421.078
1360310    74379.484
1358985    78779.094
3014523    261274.325
1327736    69808.080
1480161    62270.738
1439979    54439.389
1446667    63212.727
2947526    232977.558
1465528    70933.964
74964      202225.754
3707304    59449.967
9658       22416.570
3655334    58250.001
3199941    224871.130
3602020    52103.700
3521904    44997.385
3602658    45811.602
93062      4898.932
3550546    47557.121
2547819    45105.789
3489643    40993.560
2376441    176668.377
1711660    48432.144
3635815    49672.920
3556490    43662.125
3482805    33143.789
3500325    45433.897
3556141    48626.071
3654863    51682.304
3666322    47850.663
3618028    51120.053
2316455    217596.795
3591515    47098.658
3568662    43416.082
3622286    47593.319
3631484    47886.314
3580001    38699.284
3585824    44433.711
3656428    48026.221
2145678    53942.963
2133930    57321.005
2100583    57171.467
2888662    164053.110
2113737    53392.504
2095820    52163.600
2052746    45245.561
71002      390873.364
2062210    44877.706
2098847    51261.293
2078486    42595.697
2086420    43535.435
2028379    40876.011
2125143    46826.510
2128360    51378.539
2128980    52141.652
496131     56289.534
2402697    51622.573
2372723    44992.001
2387118    52519.554
2334083    44666.306
3096511    52300.432
5332770    151038.722
3074705    55947.798
3142895    56196.804
3143593    56932.217
3120391    56758.831
2614498    173453.444
3700509    57750.326
3716293    57244.991
3727285    56936.151
3737906    60027.462
179691     12574.076
3729481    55286.205
3495999    54738.354
222089964  482668.774
3506968    53839.686
3634124    70972.915
1954287    62011.338
1904022    48507.767
2000347    58524.687
60898745   369189.707
1917382    50753.290
1944646    56151.410
3123417    177219.825
1382311    372300.064
2992338    59478.606
2853544    45501.225
124813878  306627.748
2856709    42662.416
2952478    303670.254
2809440    41431.503
2840896    39810.136
3189958    45753.686
3205158    47707.499
3248052    46226.858
3107502    47016.379
3190927    47636.281
3138166    41530.030
2853436    328604.596
2139382    37553.193
3123165    45562.672
1610       10472.618
3201797    30804.171
3272975    37021.491
3091908    41383.874
111987     9397.823
6850367    41483.342
3098467    43825.685
3334722    37020.683
2045578    45490.008
265414     284392.126
3118511    42330.336
3115833    44880.993
2083301    54593.410
1987055    41096.214
3152555    44284.128
2115422    57529.236
3911597    88960.181
3870105    82136.349
14770038   349033.938
3781067    77362.174
3683426    60440.286
12491422   186155.479
876030     1897417.862
3541830    49102.397
3509883    52322.979
843964     24841.026
3568927    50616.860
3430023    44717.770
3505999    45922.642
3431705    45373.203
3335039    38188.499
